x-axis,1,2,3
second,Volt,Volt,Volt
-82.8125E-09,+3.1728643178940E+00,+1.6759421927855E+00,+31.7587936297E-03
-82.5000E-09,+3.1728643178940E+00,+1.6759421927854E+00,+31.3567835838E-03
-82.1875E-09,+3.2130653224885E+00,+1.6081029975322E+00,+31.1306529329E-03
-81.8750E-09,+3.2130653224886E+00,+1.5553391790018E+00,+30.9547735378E-03
-81.5625E-09,+3.2130653224886E+00,+1.5553391790018E+00,+30.5527634919E-03
-81.2500E-09,+3.2130653224886E+00,+1.5151381744072E+00,+30.9547735378E-03
-80.9375E-09,+3.2130653224886E+00,+1.4749371698126E+00,+29.7487434000E-03
-80.6250E-09,+3.2532663270831E+00,+1.4372487280052E+00,+29.7487434000E-03
-80.3125E-09,+3.2331658247858E+00,+1.3945351606235E+00,+29.7487434000E-03
-80.0000E-09,+3.2130653224886E+00,+1.3543341560290E+00,+28.1407032162E-03
-79.6875E-09,+3.2532663270831E+00,+1.3945351606235E+00,+26.1306529865E-03
-79.3750E-09,+3.2934673316777E+00,+1.3467964676675E+00,+23.1909545255E-03
-79.0625E-09,+3.2683417038061E+00,+1.3141331514344E+00,+20.9045223892E-03
-78.7500E-09,+3.2532663270831E+00,+1.3141331514344E+00,+19.2964822054E-03
-78.4375E-09,+3.2934673316777E+00,+1.2337311422453E+00,+22.5125625730E-03
-78.1250E-09,+3.2532663270831E+00,+1.1935301376507E+00,+24.5226128027E-03
-77.8125E-09,+3.2934673316777E+00,+1.2111180771608E+00,+24.6984921978E-03
-77.5000E-09,+3.2934673316777E+00,+1.2337311422452E+00,+24.9246228486E-03
-77.1875E-09,+3.2934673316777E+00,+1.1533291330562E+00,+22.9145726189E-03
-76.8750E-09,+3.2934673316777E+00,+1.1131281284616E+00,+22.9145726189E-03
-76.5625E-09,+3.2934673316777E+00,+1.0729271238670E+00,+22.4371856893E-03
-76.2500E-09,+3.3160803967621E+00,+1.0729271238670E+00,+22.1105525270E-03
-75.9375E-09,+3.3336683362722E+00,+1.0729271238670E+00,+20.9045223892E-03
-75.6250E-09,+3.2934673316777E+00,+992.5251146779E-03,+21.7085424811E-03
-75.3125E-09,+3.2934673316777E+00,+952.3241100833E-03,+22.9145726189E-03
-75.0000E-09,+3.2934673316777E+00,+929.7110449989E-03,+22.7135675959E-03
-74.6875E-09,+3.2934673316777E+00,+912.1231054887E-03,+22.5125625730E-03
-74.3750E-09,+3.2934673316777E+00,+871.9221008942E-03,+21.3065324351E-03
-74.0625E-09,+3.3336683362722E+00,+871.9221008942E-03,+20.9045223892E-03
-73.7500E-09,+3.3336683362722E+00,+791.5200917051E-03,+20.1005022973E-03
-73.4375E-09,+3.2934673316777E+00,+791.5200917050E-03,+19.5979897399E-03
