x-axis,3,D0-D7,D8-D15
second,Volt,,
-78.8000E-09,+321.6080367565E-03,188,4
-78.6000E-09,+313.5678358376E-03,188,4
-78.4000E-09,+305.5276349187E-03,188,4
-78.2000E-09,+313.5678358376E-03,188,4
-78.0000E-09,+305.5276349187E-03,188,4
-77.8000E-09,+313.5678358376E-03,188,4
-77.6000E-09,+305.5276349187E-03,188,4
-77.4000E-09,+297.4874339998E-03,188,4
-77.2000E-09,+281.4070321620E-03,188,4
-77.0000E-09,+297.4874339998E-03,188,4
-76.8000E-09,+297.4874339998E-03,188,4
-76.6000E-09,+297.4874339998E-03,188,4
-76.4000E-09,+289.4472330809E-03,188,4
-76.2000E-09,+289.4472330809E-03,188,4
-76.0000E-09,+289.4472330809E-03,188,4
-75.8000E-09,+289.4472330809E-03,188,4
-75.6000E-09,+281.4070321619E-03,188,4
-75.4000E-09,+273.3668312430E-03,188,4
-75.2000E-09,+273.3668312430E-03,188,4
-75.0000E-09,+265.3266303241E-03,188,4
-74.8000E-09,+265.3266303241E-03,188,4
-74.6000E-09,+273.3668312430E-03,188,4
-74.4000E-09,+265.3266303241E-03,188,4
-74.2000E-09,+257.2864294052E-03,188,4
-74.0000E-09,+257.2864294052E-03,188,4
-73.8000E-09,+265.3266303241E-03,188,4
-73.6000E-09,+265.3266303241E-03,188,4
-73.4000E-09,+265.3266303241E-03,188,4
-73.2000E-09,+257.2864294052E-03,188,4
-73.0000E-09,+249.2462284863E-03,188,4
-72.8000E-09,+249.2462284863E-03,188,4
-72.6000E-09,+257.2864294052E-03,188,4
-72.4000E-09,+257.2864294052E-03,188,4
-72.2000E-09,+257.2864294052E-03,188,4
-72.0000E-09,+249.2462284863E-03,188,4
-71.8000E-09,+249.2462284863E-03,188,4
-71.6000E-09,+241.2060275674E-03,188,4
-71.4000E-09,+257.2864294052E-03,188,4
-71.2000E-09,+249.2462284863E-03,188,4
-71.0000E-09,+241.2060275674E-03,188,4
-70.8000E-09,+225.1256257296E-03,188,4
-70.6000E-09,+225.1256257296E-03,188,4
-70.4000E-09,+217.0854248106E-03,188,4
-70.2000E-09,+209.0452238917E-03,188,4
-70.0000E-09,+192.9648220539E-03,188,4
-69.8000E-09,+192.9648220539E-03,188,4
-69.6000E-09,+176.8844202161E-03,188,4
-69.4000E-09,+176.8844202160E-03,188,4
-69.2000E-09,+136.6834156215E-03,188,4
-69.0000E-09,+112.5628128648E-03,188,4
-68.8000E-09,+136.6834156216E-03,188,4
-68.6000E-09,+160.8040183783E-03,188,4
-68.4000E-09,+184.9246211350E-03,188,4
-68.2000E-09,+176.8844202160E-03,188,4
-68.0000E-09,+144.7236165404E-03,188,4
-67.8000E-09,+120.6030137836E-03,180,0
-67.6000E-09,+80.4020091891E-03,180,43
-67.4000E-09,+48.2412055135E-03,180,43
-67.2000E-09,+64.3216073514E-03,180,43
-67.0000E-09,+112.5628128648E-03,180,43
-66.8000E-09,+152.7638174594E-03,180,43
-66.6000E-09,+160.8040183782E-03,245,43
-66.4000E-09,+152.7638174593E-03,245,43
-66.2000E-09,+144.7236165404E-03,245,43
-66.0000E-09,+152.7638174594E-03,245,43
-65.8000E-09,+160.8040183782E-03,245,43
-65.6000E-09,+144.7236165404E-03,245,43
-65.4000E-09,+136.6834156215E-03,245,43
-65.2000E-09,+128.6432147026E-03,245,43
-65.0000E-09,+128.6432147026E-03,245,43
-64.8000E-09,+128.6432147026E-03,245,43
-64.6000E-09,+120.6030137837E-03,245,43
-64.4000E-09,+120.6030137837E-03,245,43
-64.2000E-09,+120.6030137837E-03,245,43
-64.0000E-09,+112.5628128648E-03,245,43
-63.8000E-09,+96.4824110270E-03,245,43
